id,movie_id,language_id
343,591,2
344,172385,1
345,172385,17
346,36658,1
347,36658,5
348,36658,4
349,51497,1
350,51497,2
351,51497,17
352,51497,4
353,58574,1
354,18823,1
355,861,1
356,1911,1
357,1911,27
358,49040,1
359,49040,11
360,415,1
361,8871,1
362,435,1
363,435,14
364,435,3
365,435,21
366,435,2
367,955,1
368,2133,1
369,1979,1
370,1979,14
371,1979,21
372,1979,8
373,87827,8
374,87827,1
375,87827,3
376,87827,16
377,87827,14
378,87827,28
379,1250,1
380,324668,1
381,9471,1
382,9471,8
383,9471,2
384,70981,23
385,70981,1
386,10996,1
387,68724,1
388,2789,1
389,97020,1
390,7459,1
391,42888,1
392,37834,1
393,37834,5
394,37834,2
395,75612,1
396,1895,1
397,1894,1
398,585,1
399,76170,1
400,1893,1
401,49519,1
402,2395,3
403,2395,17
404,12100,1
405,12100,14
406,12100,29
407,290595,1
408,98566,1
409,49047,1
410,9619,1
411,308531,1
412,166424,1
413,1593,1
414,1593,4
415,1593,30
416,254128,1
417,714,5
418,714,1
419,714,31
420,714,8
421,714,25
422,2024,1
423,163,3
424,163,4
425,163,32
426,163,8
427,163,1
428,787,1
429,787,2
430,262500,1
431,2567,1
432,38745,1
433,40805,1
434,40805,8
435,53182,1
436,41513,1
437,13700,8
438,13700,1
439,262504,1
440,39254,1
441,77931,1
442,1639,1
443,1639,17
444,80274,1
445,1571,1
446,1571,4
447,1571,3
448,120,1
449,10204,5
450,10204,1
451,10204,3
452,10204,16
453,10204,6
454,10204,25
455,8489,1
456,10588,1
457,2048,1
458,1495,21
459,1495,1
460,1495,4
461,1495,15
462,10137,1
463,10198,3
464,10198,1
465,286217,1
466,286217,8
467,1635,1
468,24113,1
469,9679,1
470,98,1
471,180,1
472,180,12
473,672,1
474,36557,1
475,36557,3
476,869,1
477,280,1
478,280,2
479,11322,1
480,4982,1
481,36955,1
482,36955,3
483,36955,21
484,36955,5
485,18487,1
486,39451,1
487,27581,1
488,9268,1
489,68718,1
490,68718,3
491,68718,5
492,10545,15
493,10545,1
494,11688,1
495,76163,1
496,2059,15
497,2059,1
498,2059,2
499,2486,1
500,16523,1
501,116711,1
502,37710,1
503,37710,3
504,37710,4
505,37710,11
506,37710,2
507,9946,1
508,9946,4
509,9946,15
510,1372,33
511,1372,1
512,106646,3
513,106646,1
514,414,1
515,563,1
516,83542,1
517,41216,1
518,314,2
519,314,1
520,184315,1
521,9016,1
522,18162,1
523,138103,1
524,257088,1
525,10214,1
526,205775,1
527,11692,1
528,22972,1
529,22972,21
530,227973,1
531,29193,1
532,1734,1
533,1734,21
534,3131,1
535,3131,34
536,3131,15
537,3131,8
538,76758,8
539,76758,14
540,76758,1
541,9408,1
542,9890,1
543,855,1
544,855,35
545,77953,1
546,18,1
547,18,12
548,18,5
549,37786,1
550,37786,21
551,10501,1
552,57800,1
553,150689,1
554,7980,1
555,12,1
556,122,1
557,121,1
558,68737,1
559,1995,1
560,157353,1
561,331,1
562,331,2
563,61791,1
564,8204,1
565,47964,1
566,47964,11
567,10733,1
568,10733,2
569,9806,3
570,9806,1
571,1408,1
572,1408,15
573,32657,1
574,607,1
575,607,2
576,863,1
577,44048,1
578,5175,25
579,5175,1
580,5175,8
581,2655,1
582,22794,1
583,8355,1
584,116745,1
585,4327,1
586,4327,5
587,4327,36
588,4327,14
589,4327,25
590,1422,1
591,1422,25
592,10674,1
593,10674,8
594,7446,1
595,7446,8
596,65754,1
597,1572,1
598,1572,5
599,1572,13
600,10528,1
601,10528,3
602,271969,1
603,10865,1
604,10865,3
605,10865,2
606,258509,1
607,2253,1
608,2253,5
609,10661,1
610,10661,30
611,257344,1
612,644,1
613,10756,1
614,686,1
615,9383,1
616,179,1
617,179,3
618,179,17
619,76285,1
620,1996,1
621,1996,8
622,291805,8
623,291805,1
624,10003,1
625,10003,11
626,1535,25
627,1535,1
628,1535,5
629,1535,21
630,1535,3
631,2067,1
632,46195,1
633,46195,17
634,2277,1
635,10357,5
636,10357,2
637,10357,1
638,4477,1
639,8665,1
640,9387,1
641,921,1
642,49852,31
643,49852,1
644,4464,1
645,664,1
646,8358,11
647,8358,1
648,9836,1
649,2502,1
650,2502,11
651,2502,5
652,2502,4
653,9772,1
654,9772,11
655,161,4
656,161,1
657,52451,1
658,76492,1
659,4523,1
660,59961,1
661,59961,33
662,59961,2
663,10481,1
664,59108,1
665,1581,1
666,9798,1
667,22897,1
668,22897,3
669,298,2
670,298,1
671,298,3
672,7484,1
673,157350,1
674,853,5
675,853,1
676,853,11
677,10159,17
678,10159,1
679,9593,1
680,1904,1
681,1904,14
682,9615,1
683,9615,14
684,51052,1
685,297,1
686,9884,1
687,9884,2
688,16858,1
689,62764,1
690,22538,1
691,9341,1
692,12107,1
693,9637,1
694,49049,1
695,9339,1
696,9339,17
697,9339,14
698,16281,1
699,16281,4
700,39691,1
701,39691,9
702,8247,3
703,11253,1
704,1949,1
705,8452,1
706,310,1
707,27578,1
708,27578,2
709,954,1
710,954,3
711,954,24
712,70160,1
713,45243,1
714,45243,9
715,364,1
716,7518,1
717,11544,1
718,9986,1
719,8656,1
720,146216,1
721,146216,3
722,146216,11
723,9291,1
724,55301,1
725,109418,1
726,11665,1
727,11665,11
728,6964,3
729,6964,1
730,11324,1
731,11324,5
732,12193,1
733,9928,1
734,9928,4
735,754,1
736,754,15
737,10202,1
738,4147,1
739,50546,1
740,1701,1
741,13027,1
742,2289,1
743,20504,1
744,9574,1
745,11618,1
746,2300,1
747,12096,1
748,10200,8
749,10200,1
750,8834,1
751,228150,1
752,6068,1
753,6068,5
754,6068,9
755,41515,1
756,9023,1
757,38317,1
758,2157,1
759,14462,1
760,161795,1
761,159824,1
762,159824,9
763,49948,1
764,2135,1
765,9822,37
766,9822,1
767,9705,5
768,9705,1
769,1656,1
770,1656,4
