id,movie_id,keyword_id
134,209112,9748
135,209112,163455
136,209112,195242
137,209112,195243
138,209112,229266
139,1452,83
140,1452,849
141,1452,8872
142,1452,9663
143,1452,9715
144,1452,9717
145,1452,163420
146,1452,163455
147,1452,179102
148,1452,202526
149,10764,627
150,10764,1568
151,10764,4289
152,10764,156095
153,58,616
154,58,663
155,58,910
156,58,911
157,58,1299
158,58,1316
159,58,1317
160,58,1319
161,58,1461
162,58,3799
163,58,5600
164,58,12988
165,58,157186
166,58,179430
167,57201,1556
168,57201,2673
169,57201,5385
170,57201,5901
171,57201,9104
172,57201,9503
173,57201,10685
174,57201,10909
175,57201,13008
176,57201,178867
177,57201,179419
178,57201,222787
179,57201,228232
180,49521,83
181,49521,849
182,49521,9715
183,49521,9717
184,49521,10761
185,49521,14909
186,49521,161184
187,49521,163455
188,49521,229266
189,2454,818
190,2454,855
191,2454,1155
192,2454,2043
193,2454,3714
194,2454,4391
195,2454,4820
196,2454,5144
197,2454,6150
198,2454,6464
199,2454,166930
200,2454,170362
201,24428,242
202,24428,5539
203,24428,8828
204,24428,9715
205,24428,9717
206,24428,14909
207,24428,155030
208,24428,179430
209,24428,179431
210,24428,180547
211,1865,658
212,1865,1316
213,1865,1860
214,1865,1938
215,1865,2569
216,1865,3180
217,1865,3625
218,1865,3799
219,1865,4235
220,1865,5938
221,1865,12988
222,1865,13065
223,1865,14643
224,1865,157186
225,1865,179430
226,1865,209714
227,41154,4379
228,41154,5455
229,41154,9951
230,41154,174915
231,41154,185668
232,41154,208756
233,122917,417
234,122917,603
235,122917,604
236,122917,606
237,122917,609
238,122917,611
239,122917,12554
240,122917,14643
241,122917,167982
242,122917,188270
243,122917,234213
244,1930,1872
245,1930,7002
246,1930,8803
247,1930,8828
248,1930,156855
249,1930,158124
250,1930,158456
251,1930,161184
252,1930,163455
253,1930,163561
254,1930,171556
255,1930,179431
256,20662,4147
257,20662,4393
258,20662,10466
259,20662,11525
260,20662,18101
261,20662,41406
262,20662,161257
263,20662,186686
264,57158,603
265,57158,604
266,57158,606
267,57158,611
268,57158,12554
269,57158,177912
270,57158,234213
271,2268,392
272,2268,1461
273,2268,1706
274,2268,2596
275,2268,6464
276,2268,6678
277,2268,13014
278,2268,18165
279,2268,223438
280,254,774
281,254,776
282,254,837
283,254,886
284,254,887
285,254,911
286,254,1299
287,254,1551
288,254,3799
289,254,12616
290,597,2580
291,597,2984
292,597,3799
293,597,4210
294,597,4388
295,597,4953
296,597,6917
297,597,7579
298,597,9673
299,597,10617
300,597,10703
301,597,14514
302,597,156395
303,597,165086
304,597,182615
305,597,182621
306,597,182625
307,597,209714
308,597,210184
309,271110,393
310,271110,6091
311,271110,8828
312,271110,9663
313,271110,9715
314,271110,9717
