id,movie_id,genre_id
374,1966,36
375,1966,28
376,1966,12
377,1966,18
378,1966,10749
379,675,12
380,675,14
381,675,10751
382,675,9648
383,674,12
384,674,14
385,674,10751
386,8960,14
387,8960,28
388,6479,18
389,6479,27
390,6479,28
391,6479,53
392,6479,878
393,118,12
394,118,35
395,118,10751
396,118,14
397,2062,16
398,2062,35
399,2062,10751
400,2062,14
401,272,28
402,272,80
403,272,18
404,10527,10751
405,10527,16
406,18360,12
407,18360,14
408,18360,28
409,18360,35
410,18360,10751
411,2080,12
412,2080,28
413,2080,53
414,2080,878
415,605,12
416,605,28
417,605,53
418,605,878
419,109445,16
420,109445,12
421,109445,10751
422,604,12
423,604,28
424,604,53
425,604,878
426,76338,28
427,76338,12
428,76338,14
429,76341,28
430,76341,12
431,76341,878
432,76341,53
433,13448,53
434,13448,9648
435,10195,12
436,10195,14
437,10195,28
438,13053,16
439,13053,10751
440,13053,12
441,13053,35
442,19585,14
443,19585,28
444,19585,12
445,19585,10751
446,19585,35
447,57165,12
448,62213,35
449,62213,14
450,177677,28
451,177677,12
452,177677,53
453,7978,18
454,7978,27
455,7978,53
456,5559,10751
457,5559,16
458,5559,12
459,5559,35
460,49444,16
461,49444,10751
462,10196,28
463,10196,12
464,10196,10751
465,10196,14
466,956,12
467,956,28
468,956,53
469,117251,28
470,117251,18
471,117251,53
472,50321,12
473,50321,16
474,50321,10751
475,11619,12
476,11619,16
477,11619,35
478,11619,10751
479,266647,12
480,266647,10751
481,266647,14
482,82703,16
483,82703,12
484,82703,10751
485,652,12
486,652,18
487,652,10752
488,80321,16
489,80321,10751
490,36669,12
491,36669,28
492,36669,53
493,43074,28
494,43074,14
495,43074,35
496,95,28
497,95,53
498,95,878
499,95,12
500,608,28
501,608,12
502,608,35
503,608,878
504,2310,12
505,2310,28
506,2310,16
507,140300,28
508,140300,12
509,140300,16
510,140300,35
511,140300,10751
512,56292,28
513,56292,53
514,56292,12
515,81188,14
516,81188,16
