id,movie_id,company_id
164,10193,2
165,10193,3
166,534,5
167,534,4021
168,534,4022
169,534,6194
170,168259,33
171,168259,333
172,168259,3341
173,168259,6452
174,168259,7154
175,168259,40890
176,168259,86352
177,168259,86655
178,168259,87857
179,168259,87858
180,72190,4
181,72190,3281
182,72190,6277
183,72190,9169
184,72190,11956
185,72190,19108
186,72190,23644
187,127585,306
188,127585,431
189,127585,7505
190,127585,9168
191,127585,22213
192,127585,37336
193,127585,76043
194,54138,4
195,54138,6277
196,54138,11461
197,54138,12536
198,81005,12
199,81005,333
200,81005,923
201,81005,6194
202,81005,8406
203,81005,9168
204,64682,79
205,64682,240
206,64682,6194
207,64682,11858
208,64682,14440
209,64682,14604
210,9543,2
211,9543,130
212,68726,923
213,68726,6194
214,68726,19750
215,68726,19751
216,38356,4
217,38356,435
218,38356,19751
219,38356,22826
220,217,1
221,217,4
222,105864,2
223,105864,3
224,62177,2
225,62177,3
226,188927,4
227,188927,11461
228,188927,34530
229,188927,69484
230,188927,82819
231,188927,83644
232,188927,83645
233,10681,2
234,10681,3
235,10681,93408
236,5174,12
237,14161,5
238,14161,347
239,14161,1557
240,14161,10905
241,17979,5888
242,17979,11395
243,76757,79
244,76757,444
245,76757,450
246,76757,6194
247,258489,79
248,258489,552
249,258489,2596
250,258489,41624
251,258489,46339
252,258489,86565
253,258489,86566
254,411,5888
255,411,10221
256,246655,306
257,246655,431
258,246655,7505
259,246655,9168
260,246655,22213
261,246655,78091
262,155,429
263,155,923
264,155,6194
265,155,9993
266,155,9996
267,14160,3
268,15512,521
269,1726,420
270,44826,4
271,44826,2691
272,44826,3281
273,8487,2507
274,8487,6194
275,8487,16774
276,8487,57088
277,1735,33
278,1735,2269
279,1735,7295
280,1735,11462
281,1735,19643
282,297761,429
283,297761,444
284,297761,507
285,297761,6194
286,297761,9993
287,2698,5
288,2698,33
289,2698,158
290,2698,159
291,2698,333
292,2698,4171
293,2698,7295
294,137113,79
295,137113,6194
296,137113,6687
297,137113,12200
298,137113,36390
299,137113,41624
300,9804,33
301,9804,1073
302,9804,1302
303,9804,6092
304,14869,4
305,14869,158
306,14869,435
307,14869,2598
308,14869,76067
309,150540,2
310,150540,3
311,278927,2
312,278927,3036
313,278927,7297
314,278927,20478
315,10138,420
316,58595,33
317,58595,16314
